datim,rating
1997-09-21,4.375
1997-09-28,4.25
1997-10-05,4.555555555555555
1997-10-12,4.666666666666667
1997-10-19,4.666666666666667
1997-10-26,4.857142857142857
1997-11-02,4.5
1997-11-09,4.375
1997-11-16,3.8461538461538463
1997-11-23,4.181818181818182
1997-11-30,4.2
1997-12-07,4.5
1997-12-14,4.4
1997-12-21,4.166666666666667
1997-12-28,4.25
1998-01-04,4.285714285714286
1998-01-11,4.642857142857143
1998-01-18,3.8
1998-01-25,4.142857142857143
1998-02-01,4.333333333333333
1998-02-08,4.2
1998-02-15,4.5
1998-02-22,4.0
1998-03-01,4.222222222222222
1998-03-08,4.5
1998-03-15,5.0
1998-03-22,4.5
1998-03-29,4.384615384615385
1998-04-05,4.291666666666667
1998-04-12,4.6
1998-04-19,4.6
1998-04-26,5.0
